,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170223,4321533.0,2818.0,1533.5461320085167,6895338.0,2665.0,2587.3688555347094,2926033.0,1990.0,1470.3683417085426,1395500.0,828.0,1685.3864734299516,5512138.0,1999.0,2757.447723861931,1383200.0,666.0,2076.876876876877,4948049.0,1689.0,2929.5731201894614,1947289.0,976.0,1995.173155737705,2036287.0,1606.0,1267.9246575342465,2285246.0,1212.0,1885.516501650165
20170224,5575595.0,2562.0,2176.2665886026543,6171112.0,2496.0,2472.400641025641,1420561.0,829.0,1713.583835946924,4155034.0,1733.0,2397.596076168494,2250461.0,712.0,3160.7598314606744,3920651.0,1784.0,2197.67432735426,3383108.0,1202.0,2814.565723793677,2788004.0,1294.0,2154.562596599691,2138543.0,1223.0,1748.6042518397383,3437052.0,1339.0,2566.8797610156835
20170227,4152474.0,2674.0,1552.9072550486162,8133277.0,2641.0,3079.620219613783,3290181.0,2058.0,1598.7274052478135,862293.0,616.0,1399.8262987012988,6180865.0,2085.0,2964.443645083933,1952412.0,556.0,3511.5323741007196,6404699.0,1813.0,3532.6525096525097,1728578.0,828.0,2087.654589371981,2479902.0,1820.0,1362.5835164835164,1672572.0,854.0,1958.5152224824355
20170228,9057158.0,2289.0,3956.8186981214503,3989619.0,2345.0,1701.3300639658848,2136473.0,692.0,3087.3887283236995,6920685.0,1597.0,4333.553537883532,1001700.0,523.0,1915.2963671128107,2987919.0,1822.0,1639.9116355653127,1421604.0,710.0,2002.2591549295776,2568015.0,1635.0,1570.651376146789,2072862.0,520.0,3986.273076923077,6984296.0,1769.0,3948.16054267948
20170301,7463872.0,3358.0,2222.7135199523527,7482048.0,3438.0,2176.2792321116926,3032557.0,1584.0,1914.4930555555557,4431315.0,1774.0,2497.9227733934613,3781284.0,1572.0,2405.3969465648856,3700764.0,1866.0,1983.2604501607716,4841657.0,1914.0,2529.601358411703,2640391.0,1524.0,1732.5400262467192,2909745.0,1684.0,1727.877078384798,4554127.0,1674.0,2720.505973715651
20170302,3231871.0,2248.0,1437.6650355871886,7133014.0,2736.0,2607.095760233918,2485099.0,1798.0,1382.1462736373749,746772.0,450.0,1659.4933333333333,5334990.0,2117.0,2520.070854983467,1798024.0,619.0,2904.723747980614,5802762.0,2093.0,2772.4615384615386,1330252.0,643.0,2068.8211508553654,2417149.0,1763.0,1371.0431083380602,814722.0,485.0,1679.839175257732
20170303,5038901.0,3415.0,1475.5200585651537,4324557.0,2027.0,2133.476566354218,1937533.0,1349.0,1436.2735359525575,3101368.0,2066.0,1501.1461761858664,2012029.0,808.0,2490.134900990099,2312528.0,1219.0,1897.0697292863003,2650052.0,1050.0,2523.8590476190475,1674505.0,977.0,1713.9252814738998,1920839.0,1657.0,1159.226916113458,3118062.0,1758.0,1773.641638225256
20170306,8186103.0,3367.0,2431.2750222750224,5532376.0,2785.0,1986.4904847396767,1587905.0,957.0,1659.2528735632184,6598198.0,2410.0,2737.8414937759335,1387212.0,684.0,2028.0877192982457,4145164.0,2101.0,1972.9481199428844,2634893.0,1127.0,2337.9707187222716,2897483.0,1658.0,1747.5772014475272,1859459.0,1196.0,1554.7316053511706,6326644.0,2171.0,2914.1612160294794
20170307,7518007.0,3747.0,2006.4069922604751,8401027.0,3158.0,2660.2365421152626,5748238.0,2841.0,2023.3150299190427,1769769.0,906.0,1953.387417218543,6716899.0,2421.0,2774.431639818257,1684128.0,737.0,2285.112618724559,4825779.0,1522.0,3170.6826544021023,3575248.0,1636.0,2185.359413202934,2887852.0,1791.0,1612.424343941932,4630155.0,1956.0,2367.15490797546
20170308,14978891.0,7101.0,2109.405858329813,14083348.0,5850.0,2407.4099145299147,9365156.0,4414.0,2121.6937018577255,5613735.0,2687.0,2089.220320059546,8425525.0,3614.0,2331.357221914776,5657823.0,2236.0,2530.33228980322,8442901.0,3249.0,2598.615266235765,5640447.0,2601.0,2168.5686274509803,5610120.0,3401.0,1649.5501323140252,9368771.0,3700.0,2532.1002702702704
20170309,5301026.0,3739.0,1417.7657127574219,8434085.0,3453.0,2442.5383724297712,4788806.0,3368.0,1421.854513064133,512220.0,371.0,1380.6469002695417,7597285.0,3029.0,2508.182568504457,836800.0,424.0,1973.5849056603774,5978546.0,2147.0,2784.6045645086165,2455539.0,1306.0,1880.198315467075,2986524.0,2250.0,1327.344,2314502.0,1489.0,1554.400268636669
